seed;p;dMax;availables;plain;jump;gain;contour;plateau;qEst;qHat;sHat;pHit;fromzero;fzSAG;fzPur;randomly;rdSAG;rdPur;cleverly;clSAG;clPur;greedyIG;grSAG;grPur;bForceIG;bfSAG;bfPur
4939;5;   4;       114; skew;   1;   0;      3;      2;   1;   1;  39;34.2;      44;    0;  imp;      37;    0;  imp;      43;    1;  imp;      44;    1;  imp;       ?;    ?;    ?
4940;5;   6;      1104; skew;   2;   2;      2;      4;   1;   0; 550;49.8;     367;    0;  imp;     431;    0;  imp;     555;    0;  imp;     557;    0;  imp;       ?;    ?;    ?
4945;5;   6;       816; skew;   3;   4;      4;      1;   1;   0; 324;39.7;     332;    0;  imp;     302;    0;  imp;     350;    0;  imp;     380;    1;  imp;       ?;    ?;    ?
4947;4;   5;        84; skew;   3;   0;      1;      2;   1;   0;  34;40.5;      44;    0;  imp;      42;    1;  imp;      43;    0;  imp;      44;    1;  imp;       ?;    ?;    ?
4950;2;   8;        36; skew;   3;   1;      1;      2;   0;   0;  27;75.0;      21;    0;  imp;      26;    0;  imp;      27;    0; pure;      27;    0; pure;      27;    0; pure
4954;4;   8;      1186; skew;   5;   3;      1;      4;   0;   0; 691;58.3;     564;    0;  imp;     506;    0;  imp;     691;    0; pure;     626;    0;  imp;       ?;    ?;    ?
4957;5;   4;        52; skew;   1;   1;      2;      2;   1;   1;  21;40.4;      31;    1;  imp;      31;    1;  imp;      31;    1;  imp;      31;    1;  imp;      31;    1;  imp
4959;4;   5;       625;plain;  11;   0;      4;      4;   1;   1; 256;41.0;     256;    0; pure;     157;    0;  imp;     256;    1; pure;     256;    1; pure;       ?;    ?;    ?
4960;4;   6;      1296;plain;  11;   0;      4;      4;   0;   0; 625;48.2;     500;    1; pure;     385;    1;  imp;     625;    0; pure;     500;    1; pure;       ?;    ?;    ?
4963;6;   9;     10170; skew;   4;   4;      1;      5;   0;   0;5724;56.3;    4972;    0;  imp;    4946;    0;  imp;    6046;    0;  imp;    5985;    0;  imp;       ?;    ?;    ?
4965;3;   3;        27;plain;   2;   0;      3;      3;   1;   1;  12;44.4;       6;    2; pure;       6;    2; pure;      12;    1; pure;      12;    1; pure;      12;    1; pure
4966;5;   5;      2164; skew;   3;   2;      5;      3;   1;   1; 879;40.6;     683;    1;  imp;     611;    1;  imp;     879;    1; pure;     879;    1; pure;       ?;    ?;    ?
4968;2;   6;        36;plain;  11;   0;      2;      2;   0;   0;  25;69.4;      25;    0; pure;      25;    0; pure;      25;    0; pure;      25;    0; pure;      25;    0; pure
4969;5;   3;        36; skew;   1;   2;      5;      4;   2;   1;  12;33.3;      14;    2;  imp;      14;    2;  imp;      14;    1;  imp;      16;    2;  imp;      16;    1;  imp
4971;4;   9;      1012; skew;   3;   2;      4;      1;   0;   0; 554;54.7;     500;    0;  imp;     447;    0;  imp;     560;    0;  imp;     548;    0;  imp;       ?;    ?;    ?
4974;3;   5;       125;plain;  11;   0;      3;      3;   0;   0;  64;51.2;      64;    0; pure;      51;    0;  imp;      64;    0; pure;      64;    0; pure;       ?;    ?;    ?
4977;4;   3;        81;plain;   2;   0;      4;      4;   1;   1;  32;39.5;      16;    0; pure;      16;    0;  imp;      32;    1; pure;      32;    1; pure;       ?;    ?;    ?
4981;6;   3;       729;plain;  11;   0;      6;      6;   2;   2; 240;32.9;     160;    3; pure;     116;    3;  imp;     240;    2; pure;     240;    2; pure;       ?;    ?;    ?
4983;5;   9;     15120; skew;   8;   0;      1;      1;   0;   0;8544;56.5;    6804;    0;  imp;    5476;    0;  imp;    8544;    0; pure;    6375;    0;  imp;       ?;    ?;    ?
4984;5;   6;      7776;plain;  11;   0;      5;      5;   1;   1;3125;40.2;    3125;    1; pure;    2117;    1;  imp;    3125;    1; pure;    3125;    1; pure;       ?;    ?;    ?
4987;2;   9;        24; skew;   6;   4;      1;      2;   0;   0;  20;83.3;      19;    0;  imp;      19;    0;  imp;      20;    0; pure;      20;    0; pure;      20;    0; pure
4989;5;   3;       243;plain;  11;   0;      5;      5;   2;   2;  80;32.9;      80;    2; pure;      62;    2;  imp;      80;    2; pure;      80;    2; pure;       ?;    ?;    ?
4991;4;   9;      1742; skew;   5;   0;      1;      4;   0;   0;1143;65.6;     690;    0;  imp;     710;    0;  imp;    1143;    0; pure;    1075;    0;  imp;       ?;    ?;    ?
4992;6;   5;      7460; skew;   4;   4;      5;      2;   1;   1;2895;38.8;    2512;    1;  imp;    1694;    1;  imp;    2934;    1;  imp;    2408;    1;  imp;       ?;    ?;    ?
4993;4;   8;      1998; skew;   5;   2;      3;      1;   0;   0;1181;59.1;    1181;    0; pure;     897;    0;  imp;    1181;    0; pure;    1018;    0;  imp;       ?;    ?;    ?
4994;5;   6;      3236; skew;   4;   4;      2;      3;   1;   0;1470;45.4;     961;    1;  imp;     998;    1;  imp;    1502;    0;  imp;    1251;    1;  imp;       ?;    ?;    ?
4999;5;   7;      2520; skew;   6;   2;      1;      1;   0;   0;1214;48.2;     819;    0;  imp;     895;    0;  imp;    1214;    0; pure;     967;    0;  imp;       ?;    ?;    ?
5000;5;   4;       144; skew;   1;   1;      3;      3;   1;   1;  56;38.9;      46;    2;  imp;      41;    1;  imp;      57;    1;  imp;      55;    1;  imp;       ?;    ?;    ?
5005;4;   8;      4096;plain;  11;   0;      4;      4;   0;   0;2401;58.6;    1372;    1; pure;    1048;    1;  imp;    2401;    0; pure;    1372;    1; pure;       ?;    ?;    ?
5007;3;   7;        36; skew;   6;   6;      2;      2;   0;   0;  16;44.4;      21;    1;  imp;      26;    0;  imp;      26;    0;  imp;      26;    0;  imp;      26;    0;  imp
5008;4;   5;       625;plain;  11;   0;      4;      4;   1;   1; 256;41.0;     256;    1; pure;     135;    1;  imp;     256;    1; pure;     256;    1; pure;       ?;    ?;    ?
5010;2;   6;        24; skew;   3;   0;      2;      1;   0;   0;  17;70.8;      12;    0;  imp;      15;    0;  imp;      17;    0; pure;      17;    0; pure;      17;    0; pure
5011;6;   3;       212; skew;   1;   1;      4;      5;   2;   2;  61;28.8;      25;    4;  imp;      25;    3;  imp;      61;    2; pure;      56;    2;  imp;       ?;    ?;    ?
5013;3;   9;       132; skew;   8;   7;      3;      2;   0;   0;  86;65.2;      91;    0;  imp;      81;    0;  imp;      91;    0;  imp;      91;    0;  imp;       ?;    ?;    ?
5014;5;   6;      7776;plain;  11;   0;      5;      5;   1;   1;3125;40.2;    3125;    0; pure;    1842;    0;  imp;    3125;    1; pure;    3125;    1; pure;       ?;    ?;    ?
5019;4;   3;        54; skew;   2;   0;      2;      2;   1;   1;  20;37.0;      17;    1;  imp;      15;    1;  imp;      21;    1;  imp;      19;    1;  imp;      21;    1;  imp
5020;4;   5;       262; skew;   2;   1;      4;      2;   1;   0; 115;43.9;     101;    1;  imp;      79;    1;  imp;     118;    0;  imp;     105;    1;  imp;       ?;    ?;    ?
5022;3;   6;       216;plain;  11;   0;      3;      3;   0;   0; 125;57.9;      75;    1; pure;      54;    0;  imp;     125;    0; pure;     125;    0; pure;       ?;    ?;    ?
5025;3;   6;        38; skew;   1;   0;      2;      3;   0;   0;  21;55.3;      21;    0;  imp;      21;    0;  imp;      23;    0;  imp;      23;    0;  imp;      23;    0;  imp
5026;5;   3;        36; skew;   2;   0;      2;      1;   2;   1;  13;36.1;      10;    1;  imp;      10;    2;  imp;      15;    1;  imp;      15;    1;  imp;      15;    1;  imp
5027;2;   7;        49;plain;  11;   0;      2;      2;   0;   0;  36;73.5;      12;    1; pure;      11;    1;  imp;      36;    0; pure;      36;    0; pure;      36;    0; pure
5031;5;   7;     16800; skew;   6;   0;      5;      4;   0;   0;7772;46.3;    2134;    2;  imp;    3712;    1;  imp;    7772;    0; pure;    6479;    1; pure;       ?;    ?;    ?
5032;4;   9;      5430; skew;   8;   4;      4;      4;   0;   0;3397;62.6;    1696;    1;  imp;    1490;    0;  imp;    3397;    0; pure;    2298;    0;  imp;       ?;    ?;    ?
5034;3;   3;        14; skew;   1;   1;      3;      2;   1;   1;   6;42.9;       6;    0;  imp;       6;    0;  imp;       6;    1; pure;       6;    1; pure;       6;    0;  imp
5037;4;   6;      1296;plain;  11;   0;      4;      4;   0;   0; 625;48.2;      20;    3; pure;      31;    2;  imp;     625;    0; pure;     500;    1; pure;       ?;    ?;    ?
5038;5;   3;       243;plain;  11;   0;      5;      5;   2;   2;  80;32.9;      40;    3; pure;      37;    3;  imp;      80;    2; pure;      80;    2; pure;       ?;    ?;    ?
5039;3;   7;       190; skew;   5;   2;      1;      3;   0;   0; 118;62.1;      84;    0;  imp;      84;    0;  imp;     118;    0; pure;     118;    0; pure;       ?;    ?;    ?
5040;3;   4;        64;plain;  11;   0;      3;      3;   1;   1;  27;42.2;      27;    1; pure;      15;    1;  imp;      27;    1; pure;      27;    1; pure;       ?;    ?;    ?
5045;3;   8;       100; skew;   5;   5;      1;      3;   0;   0;  73;73.0;      68;    0;  imp;      64;    0;  imp;      76;    0;  imp;      76;    0;  imp;       ?;    ?;    ?
5046;4;   3;        38; skew;   1;   1;      4;      3;   1;   2;  16;42.1;      12;    1;  imp;      11;    1;  imp;      16;    2; pure;      15;    2;  imp;      16;    2; pure
5047;2;   7;        40; skew;   5;   1;      2;      1;   0;   0;  30;75.0;      27;    0;  imp;      24;    0;  imp;      30;    0; pure;      30;    0; pure;      30;    0; pure
5049;5;   6;      1514; skew;   5;   5;      5;      1;   1;   1; 617;40.8;     421;    1;  imp;     454;    1;  imp;     671;    1;  imp;     760;    1;  imp;       ?;    ?;    ?
5051;4;   7;      2401;plain;  11;   0;      4;      4;   0;   0;1296;54.0;    1296;    0; pure;     776;    0;  imp;    1296;    0; pure;     864;    1; pure;       ?;    ?;    ?
5056;6;   8;      1344; skew;   1;   1;      4;      5;   0;   0; 608;45.2;     669;    0;  imp;     563;    0;  imp;     673;    0;  imp;     726;    0;  imp;       ?;    ?;    ?
5059;2;   4;        16;plain;  11;   0;      2;      2;   0;   0;   9;56.3;       9;    0; pure;       9;    0; pure;       9;    0; pure;       9;    0; pure;       9;    0; pure
5061;5;   5;      2220; skew;   4;   0;      2;      3;   1;   1; 907;40.9;     697;    1;  imp;     549;    1;  imp;     907;    1; pure;     907;    1;  imp;       ?;    ?;    ?
5063;4;   4;        32; skew;   2;   3;      3;      4;   1;   0;  14;43.8;      15;    0;  imp;      16;    0;  imp;      16;    0;  imp;      18;    0;  imp;      18;    0;  imp
5064;4;   8;       174; skew;   4;   6;      1;      4;   0;   0;  87;50.0;      64;    1;  imp;      79;    0;  imp;      94;    0;  imp;      97;    0;  imp;       ?;    ?;    ?
5067;6;   4;      4096;plain;  11;   0;      6;      6;   1;   1;1458;35.6;    1215;    2; pure;     760;    2;  imp;    1458;    1; pure;    1215;    2; pure;       ?;    ?;    ?
5068;6;   8;     10824; skew;   5;   0;      1;      3;   0;   0;5230;48.3;    4653;    0;  imp;    4279;    0;  imp;    5382;    0;  imp;    5023;    0;  imp;       ?;    ?;    ?
5069;4;   3;        38; skew;   1;   1;      4;      3;   1;   1;  14;36.8;      13;    1;  imp;      11;    1;  imp;      14;    1; pure;      13;    2;  imp;      14;    1; pure
