      18       62
      24       26
     521      747
      61       76
       7        8
     928     2155
     122      145
     275      280
    1834     4156
      21       23
      34       51
    1403     1804
      11       11
     261      420
      67       72
      53       65
      43       43
     283      361
     120      155
     169      217
       5        7
     865     1260
     164      308
      81       94
     173      224
     237      456
    2753     3785
     622     1381
    1813     3125
      29       56
    2781     5380
     877     1346
      97      124
    4064     7894
      20       20
      72      152
    3245     4846
     531      661
      75      161
     283      388
      22       31
      12       15
    2188     3451
      52       58
      71       74
     192      272
      51       62
    1417     1760
      14       20
      13       13
      13       14
       9        9
      15       21
    1720     4158
      39       51
      15       16
      24       25
       9        8
    3731     5149
      18       18
       5        7
    1574     2799
      72       92
    2411     3582
     128      149
      17       24
     102      116
      11       11
     852     1172
      10       11
      23       27
     187      265
      69       87
      50       68
    1741     3750
